Id,CourseName,CourseDepartment,CourseNumber,CRN,Term,Year,Enrolled,Cap,Periods,FinalSchedule,Instructor,Credits,Section
15674,AB120,AB,120,2001,20,2014,28,30,MTR/5/O105,R at 8am in TBA,coppinge,4,1
15675,AB120,AB,120,2003,20,2014,32,30,MTF/4/O105,R at 8am in TBA,ahmed,4,3
15676,AB120,AB,120,2002,20,2014,30,30,MTR/6/O105,R at 8am in TBA,coppinge,4,2
15677,AB191,AB,191,2008,20,2014,17,30,MTRF/7/M111,M at 6pm in TBA,anthony,4,1
15678,AB461,AB,461,2012,20,2014,3,24,MTRF/9/M105,,ingram,4,1
15679,AB410,AB,410,2010,20,2014,6,30,MTRF/1/O105,,oconnor,4,1
15680,AB264,AB,264,2659,20,2014,4,1,MTRF/7/O159,,mueller,4,1
15681,AB220,AB,220,2009,20,2014,18,24,MTR/4/O103:W/7-9/O107,W at 1pm in TBA,oconnor,4,1
15682,AB411,AB,411,2011,20,2014,7,24,MTRF/4/D112,,anthony,4,1
15683,AB491,AB,491,2571,20,2014,1,1,TBA/TBA/TBA,,ingram,2,1
15684,AB492,AB,492,2578,20,2014,1,1,TBA/TBA/TBA,,anthony,2,2
15685,AB491,AB,491,2573,20,2014,13,15,T/1720-1900/M111,,anthony,2,2
15686,AB492,AB,492,2635,20,2014,1,1,TBA/TBA/TBA,,coppinge,4,6
15687,AB492,AB,492,2580,20,2014,1,1,TBA/TBA/TBA,,ahmed,4,3
15688,AB492,AB,492,2542,20,2014,0,1,TBA/TBA/TBA,,anthony,2,1
15689,AB492,AB,492,2629,20,2014,1,1,TBA/TBA/TBA,,coppinge,2,5
15690,AB492,AB,492,2617,20,2014,1,1,TBA/TBA/TBA,,coppinge,4,4
15691,AB499,AB,499,2572,20,2014,1,1,TBA,,anthony,2,2
15692,AB496,AB,496,2599,20,2014,1,1,TBA,,coppinge,2,4
15693,AB496,AB,496,2602,20,2014,1,1,TBA,,ingram,2,7
15694,AB496,AB,496,2598,20,2014,1,1,TBA,,anthony,2,3
15695,AB496,AB,496,2600,20,2014,1,1,TBA,,oconnor,2,5
15696,AB496,AB,496,2597,20,2014,1,1,TBA,,anthony,2,2
15697,AB496,AB,496,2013,20,2014,0,0,TBA,,tba,2,1
15698,AB499,AB,499,2559,20,2014,1,1,TBA,,ahmed,2,1
15699,AB499,AB,499,2628,20,2014,1,1,TBA,,oconnor,2,3
15700,AS302,AS,302,2253,20,2014,1,15,R/9-1850/A219:T/9-1900/LAB,,jeffers,4,1
15701,AS102,AS,102,2251,20,2014,4,30,W/5/A219:T/10-1900/LAB,,adkins,1,1
15702,AS202,AS,202,2252,20,2014,5,30,W/6/A219:T/10-1900/LAB,,adkins,2,1
15703,AB499,AB,499,2638,20,2014,1,1,TBA,,anthony,2,4
15704,AS402,AS,402,2254,20,2014,6,15,W/7-9/A220:T/9-1900/LAB,,blystone,4,1
15705,BE100,BE,100,2015,20,2014,22,24,TRF/1-2/M105,,chiu,4,2
15706,BE100,BE,100,2014,20,2014,22,24,MTR/8-9/M103,,dee,4,1
15707,BE100,BE,100,2016,20,2014,17,24,TR/8-9/O159:F/8-9/O169,,chiu,4,3
15708,BE331,BE,331,2021,20,2014,22,24,MTR/5/D112,,livesay,3,1
15709,BE317,BE,317,2020,20,2014,25,24,F/8/O259,,ahmed,1,1
15710,BE331,BE,331,2022,20,2014,19,24,MTR/6/D112,,livesay,3,2
15711,BE310,BE,310,2019,20,2014,10,24,MTR/8/O103:W/4-6/M209,T at 8am in TBA,weiner,4,2
15712,BE201,BE,201,2017,20,2014,8,24,MTR/1/B106:F/1-3/M203,M at 8am in TBA,waitel,4,1
15713,BE310,BE,310,2018,20,2014,24,24,MTR/7/O103:W/7-9/M209,T at 8am in TBA,weiner,4,1
15714,BE351,BE,351,2025,20,2014,21,24,M/2/GM:W/1-3/M203,,rogge&buckley,2,1
15715,BE351,BE,351,2026,20,2014,16,24,M/2/GM:W/4-6/M203,,rogge&buckley,2,2
15716,BE420,BE,420,2027,20,2014,20,20,MR/9/O105:W/7-9/M203,,livesay&rogge,4,1
15717,BE435,BE,435,2509,20,2014,7,24,MTRF/7/D112,M at 8am in TBA,bunch,4,1
15718,BE492,BE,492,2622,20,2014,1,1,TBA,,rogge,2,2
15719,BE361,BE,361,2023,20,2014,18,24,MTR/3/GM,W at 8am in TBA,buckley,3,1
15720,BE361,BE,361,2024,20,2014,24,24,MTR/4/GM,W at 8am in TBA,buckley,3,2
15721,BE420,BE,420,2519,20,2014,20,20,TF/9/O105:W/7-9/M203,,livesay&rogge,4,2
15722,BE492,BE,492,2604,20,2014,1,1,TBA,,rogge,4,1
15723,BE492,BE,492,2651,20,2014,1,1,TBA,,rogge,2,3
15724,BE531,BE,531,2029,20,2014,10,24,MTR/5/M105:F/4-6/M203,R at 1pm in TBA,waitel,4,1
