SCRRTST_SUBJ_CODE,SCRRTST_CRSE_NUMB,SCRRTST_TERM_CODE_EFF,SCRRTST_SEQNO,SCRRTST_TESC_CODE,SCRRTST_TEST_SCORE,SCRRTST_SUBJ_CODE_PREQ,SCRRTST_CRSE_NUMB_PREQ,SCRRTST_LEVL_CODE,SCRRTST_MIN_GRDE,SCRRTST_CONCURRENCY_IND,SCRRTST_CONNECTOR,SCRRTST_LPAREN,SCRRTST_RPAREN,SCRRTST_ACTIVITY_DATE
AB,120,200610,2,,,AB,110,UG,D,,,,,16-Jun-05
AB,120,200910,,,,,,,,,,,,25-Jun-08
AB,130,200610,2,,,AB,120,UG,D,,,,,16-Jun-05
AB,130,200610,,,,,,,,,,,,25-Jun-08
AB,130,200910,,,,,,,,,,,,25-Jun-08
AB,205,201210,2,,,AB,110,UG,D,,,,,07-Mar-11
AB,210,000000,2,,,AB,110,UG,D,,,,,09-Dec-04
AB,220,000000,2,,,AB,110,UG,D,,,,,09-Dec-04
AB,230,000000,2,,,AB,110,UG,D,,,,,09-Dec-04
AB,251,200010,1,,,AB,211,UG,D,,,,,27-Oct-99
AB,264,000000,2,,,CHEM,111,UG,D,,,,,30-Dec-04
AB,264,000000,4,,,CHEM,201,UG,D,,O,,,30-Dec-04
AB,264,000000,6,,,CHEM,105,UG,D,,O,,,10-Mar-09
AB,264,000000,8,,,CHEM,112,UG,D,,O,,,10-Mar-09
AB,264,201410,2,,,CHEM,113,UG,D,,,(,,02-Jan-14
AB,264,201410,4,,,CHEM,113L,UG,D,,A,,),02-Jan-14
AB,264,201410,6,,,CHEM,112,UG,D,,O,(,,02-Jan-14
AB,264,201410,8,,,CHEM,114,UG,D,,A,,),02-Jan-14
AB,301,200010,1,,,AB,251,UG,D,,,,,05-Nov-99
AB,301,200610,,,,,,,,,,,,03-Sep-07
AB,310,000000,2,,,AB,130,UG,D,,,,,09-Dec-04
AB,320,000000,2,,,AB,130,UG,D,,,,,10-Dec-04
AB,320,200610,2,,,AB,130,UG,D,,,,,16-Jun-05
AB,330,000000,2,,,AB,130,UG,D,,,,,09-Dec-04
AB,340,200410,2,,,AB,120,UG,D,,,,,30-Dec-04
AB,399,201230,2,,,RH,330,UG,D,,,,,20-Mar-12
AB,399,201230,4,,,MA,223,UG,D,,A,,,20-Mar-12
AB,401,200010,1,,,AB,211,UG,D,,,,,17-May-99
AB,401,200410,1,,,,,,,,,,,16-Jun-05
AB,410,000000,2,,,AB,110,UG,D,,,,,09-Dec-04
AB,411,200010,1,,,AB,210,UG,D,,,,,10-Dec-04
AB,411,201210,1,,,AB,210,UG,D,,,,,28-Mar-11
AB,411,201210,3,,,AB,205,UG,D,,O,,,28-Mar-11
AB,421,200010,1,,,AB,110,UG,D,,,,,10-Dec-04
AB,431,200510,2,,,AB,210,UG,D,,,,,10-Nov-05
AB,431,201210,2,,,AB,210,UG,D,,,,,10-May-11
AB,431,201210,4,,,AB,205,UG,D,,O,,,10-May-11
AB,441,200810,2,,,AB,110,UG,D,,,,,17-Sep-07
AB,451,200810,2,,,AB,210,UG,D,,,,,17-Sep-07
AB,451,201210,2,,,AB,210,UG,D,,,,,10-May-11
AB,451,201210,4,,,AB,205,UG,D,,O,,,10-May-11
AB,461,200910,2,,,AB,130,UG,D,,,,,25-Jun-08
AB,461,200910,4,,,AB,210,UG,D,,A,,,25-Jun-08
AB,461,201210,2,,,AB,130,UG,D,,,,,10-May-11
AB,461,201210,4,,,AB,210,UG,D,,A,(,,10-May-11
AB,461,201210,6,,,AB,205,UG,D,,O,,),10-May-11
AB,471,201210,2,,,AB,205,UG,D,,,,,10-May-11
AB,471,201210,4,,,AB,210,UG,D,,O,,,10-May-11
AB,496,201310,2,,,AB,399,UG,D,,,,,03-Apr-12
AB,497,201310,2,,,AB,399,UG,D,,,,,03-Apr-12
